GroupCode;GroupName;Congregations;Adherents;Adherents_percent_of_Total_Adherents;Adherents_percent_of_Population
326;(Original) Church of God;15;;;
1;Advent Christian Church;249;17780;0.01;0.01
3;African Methodist Episcopal Church;3667;1059888;0.66;0.32
5;African Methodist Episcopal Zion Church;1587;304704;0.19;0.09
FHJ;Agape Christian Fellowship;21;2616;0.00;0.00
9;Albanian Orthodox Diocese of America;2;800;0.00;0.00
12;Alliance of Baptists;122;;;
15;Amana Church Society;1;321;0.00;0.00
16;Ambassadors Amish-Mennonite;8;923;0.00;0.00
FG6;American Anglican Church;12;;;
284;American Association of Lutheran Churches;57;;;
17;American Baptist Association;766;146820;0.09;0.04
19;American Baptist Churches in the USA;4790;1259804;0.78;0.38
22;American Carpatho-Russian Orthodox Diocese;78;7171;0.00;0.00
904;American Ethical Union;28;;;
30;American Presbyterian Church;2;;;
416;American Sikh Council;307;;;
31;Amish Groups undifferentiated;2863;320625;0.20;0.10
FFS;Anabaptist Disciples of Christ;15;2293;0.00;0.00
F01;Anglican Catholic Church;71;;;
FG4;Anglican Church in America;44;;;
33;Anglican Church in North America;873;;;
FG3;Anglican Province of America;56;;;
FG2;Anglican Province of Christ the King;39;;;
34;Antiochian Orthodox Christian Archdiocese of North America The;255;71216;0.04;0.02
FF7;Apostolic Christian Church (Nazarene) - East Conference;22;1820;0.00;0.00
FF8;Apostolic Christian Church (Nazarene) - West Conference;14;1322;0.00;0.00
40;Apostolic Christian Church of America;87;19557;0.01;0.01
FEX;Apostolic Christian Faith;25;2453;0.00;0.00
42;Apostolic Faith Mission of Portland OR;54;;;
45;Apostolic Lutheran Church of America;50;;;
FEY;Appalachian Mennonite Church;2;240;0.00;0.00
49;Armenian Apostolic Church of America (Catholicosate of Cilicia);32;35565;0.02;0.01
50;Armenian Church of North America (Catholicosate of Etchmiadzin);89;95207;0.06;0.03
51;Armenian Evangelical Churches (Additional);15;;;
53;Assemblies of God;12739;3094547;1.92;0.93
FGJ;Assemblies of the Lord Jesus Christ;33;;;
55;Associate Reformed Presbyterian Church;254;;;
220;Association of Free Lutheran Congregations;254;35804;0.02;0.01
58;Association of Messianic Congregations;12;;;
47;Association of Reformed Baptist Churches of America;13;;;
56;Baha'i Faith USA;983;178727;0.11;0.05
59;Baptist Missionary Association of America;1144;;;
61;Beachy Amish-Mennonite Churches;86;10093;0.01;0.00
FFV;Belarusan Autocephalous Orthodox Church;3;;;
FEZ;Believers in Christ;6;808;0.00;0.00
62;Berea Amish-Mennonite;11;824;0.00;0.00
63;Berean Fellowship of Churches;58;;;
FDT;Bethel Fellowship Mennonite Churches;16;1600;0.00;0.00
65;Bethel Ministerial Association Inc.;15;;;
73;Bible Fellowship Church;68;14333;0.01;0.00
217;Bible Holiness Church;34;;;
FE8;Bible Methodist Connection;93;;;
69;Bible Presbyterian Church (General Synod);26;;;
E54;Bible Way Church of Our Lord Jesus Christ World Wide Inc.;33;21718;0.01;0.01
FHW;Biblical Mennonite Alliance;76;6339;0.00;0.00
71;Brethren Church The (Ashland, Ohio);106;;;
75;Brethren In Christ Church;235;;;
70;Bruderhof Communities Inc.;19;2203;0.00;0.00
78;Bulgarian Eastern Orthodox Diocese of the USA Canada and Australia;24;5386;0.00;0.00
84;Calvary Chapel Fellowship Churches;243;;;
86;Canadian and American Reformed Churches;4;;;
FFM;Catholic Apostolic Church in North America;15;;;
81;Catholic Church;19405;61858137;38.37;18.66
82;Central Baptist Association;22;3009;0.00;0.00
FGS;Chabad Judaism;953;;;
244;Charis Fellowship;268;;;
87;Christadelphian;170;;;
89;Christian and Missionary Alliance;1776;414360;0.26;0.13
FDU;Christian Apostolic Church;4;253;0.00;0.00
353;Christian Brethren (Open Plymouth Brethren);841;;;
93;Christian Church (Disciples of Christ);3135;398072;0.25;0.12
97;Christian Churches and Churches of Christ;4787;1379041;0.86;0.42
FF1;Christian Communities;2;104;0.00;0.00
F10;Christian Congregation in North America;69;;;
101;Christian Methodist Episcopal Church;1608;269126;0.17;0.08
105;Christian Reformed Church in North America;792;149096;0.09;0.04
D83;Christ's Sanctified Holy Church;18;;;
F13;Church of Christ;19;;;
