id,StateCode,FIPS,GroupCode,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
80587,01,1001,003,3,378,1.25,0.64
80588,01,1001,005,2,280,0.93,0.48
80589,01,1001,053,3,370,1.22,0.63
80590,01,1001,055,1,,,
80591,01,1001,056,0,36,0.12,0.06
80592,01,1001,081,1,960,3.17,1.63
80593,01,1001,089,1,132,0.44,0.22
80594,01,1001,097,1,67,0.22,0.11
80595,01,1001,101,1,120,0.4,0.2
80596,01,1001,123,1,50,0.17,0.09
80597,01,1001,127,6,442,1.46,0.75
80598,01,1001,141,1,120,0.4,0.2
80599,01,1001,151,1,553,1.83,0.94
80600,01,1001,165,2,97,0.32,0.16
80601,01,1001,167,7,978,3.23,1.66
80602,01,1001,193,1,202,0.67,0.34
80603,01,1001,FFR,1,360,1.19,0.61
80604,01,1001,243,1,,,
80605,01,1001,272,1,228,0.75,0.39
80606,01,1001,283,1,49,0.16,0.08
80607,01,1001,300,1,150,0.5,0.26
80608,01,1001,302,5,616,2.04,1.05
80609,01,1001,500,18,3780,12.5,6.43
80610,01,1001,356,1,203,0.67,0.35
80611,01,1001,361,2,129,0.43,0.22
80612,01,1001,413,1,102,0.34,0.17
80613,01,1001,419,34,17115,56.58,29.1
80614,01,1001,449,9,2619,8.66,4.45
80615,01,1001,454,2,,,
80616,01,1001,467,1,113,0.37,0.19
80617,01,1003,003,5,858,0.69,0.37
80618,01,1003,005,1,150,0.12,0.06
80619,01,1003,033,2,,,
80620,01,1003,053,16,6112,4.92,2.64
80621,01,1003,220,1,21,0.02,0.01
80622,01,1003,056,1,51,0.04,0.02
80623,01,1003,084,1,,,
80624,01,1003,081,14,31475,25.31,13.58
80625,01,1003,089,2,325,0.26,0.14
80626,01,1003,093,3,193,0.16,0.08
80627,01,1003,097,2,490,0.39,0.21
80628,01,1003,101,1,160,0.13,0.07
80629,01,1003,123,1,218,0.18,0.09
80630,01,1003,127,9,2036,1.64,0.88
80631,01,1003,141,2,636,0.51,0.27
80632,01,1003,145,1,,,
80633,01,1003,151,3,1521,1.22,0.66
80634,01,1003,165,1,85,0.07,0.04
80635,01,1003,167,12,1570,1.26,0.68
80636,01,1003,173,2,,,
80637,01,1003,193,9,3869,3.11,1.67
80638,01,1003,201,3,306,0.25,0.13
80639,01,1003,207,2,130,0.1,0.06
80640,01,1003,216,2,,,
80641,01,1003,FFR,1,90,0.07,0.04
80642,01,1003,243,1,,,
80643,01,1003,246,1,150,0.12,0.06
80644,01,1003,FE9,1,,,
80645,01,1003,272,9,1904,1.53,0.82
80646,01,1003,283,8,1114,0.9,0.48
80647,01,1003,255,1,150,0.12,0.06
80648,01,1003,291,1,0,0,0
80649,01,1003,223,1,99,0.08,0.04
80650,01,1003,302,3,1252,1.01,0.54
80651,01,1003,309,1,,,
80652,01,1003,500,44,16110,12.96,6.95
80653,01,1003,355,7,1522,1.22,0.66
80654,01,1003,356,4,820,0.66,0.35
80655,01,1003,413,3,478,0.38,0.21
80656,01,1003,419,68,37107,29.84,16.01
80657,01,1003,437,1,,,
80658,01,1003,435,1,109,0.09,0.05
80659,01,1003,FGN,1,,,
80660,01,1003,449,24,13075,10.51,5.64
80661,01,1003,454,5,,,
80662,01,1003,124,2,,,
80663,01,1003,467,1,165,0.13,0.07
80664,01,1005,003,13,3038,17.53,12.04
80665,01,1005,053,7,573,3.31,2.27
80666,01,1005,081,2,2353,13.58,9.33
80667,01,1005,123,1,122,0.7,0.48
80668,01,1005,127,1,0,0,0
80669,01,1005,141,2,300,1.73,1.19
80670,01,1005,151,1,369,2.13,1.46
80671,01,1005,167,2,147,0.85,0.58
80672,01,1005,180,1,,,
80673,01,1005,193,1,201,1.16,0.8
80674,01,1005,FGD,1,,,
80675,01,1005,272,1,232,1.34,0.92
80676,01,1005,223,1,99,0.57,0.39
80677,01,1005,300,2,404,2.33,1.6
80678,01,1005,500,12,3356,19.37,13.31
80679,01,1005,355,1,93,0.54,0.37
80680,01,1005,356,4,127,0.73,0.5
80681,01,1005,413,1,62,0.36,0.25
80682,01,1005,419,25,4884,28.18,19.36
80683,01,1005,443,1,61,0.35,0.24
80684,01,1005,449,12,909,5.25,3.6
80685,01,1005,454,1,,,
80686,01,1007,003,2,404,3.71,1.81
80687,01,1007,005,2,152,1.4,0.68
80688,01,1007,053,2,249,2.29,1.12
80689,01,1007,056,0,4,0.04,0.02
80690,01,1007,FE8,4,,,
80691,01,1007,127,2,36,0.33,0.16
80692,01,1007,145,3,,,
80693,01,1007,155,1,180,1.65,0.81
80694,01,1007,165,2,113,1.04,0.51
80695,01,1007,167,3,114,1.05,0.51
80696,01,1007,223,1,98,0.9,0.44
80697,01,1007,302,1,180,1.65,0.81
80698,01,1007,500,5,1080,9.92,4.84
80699,01,1007,355,1,26,0.24,0.12
80700,01,1007,356,2,98,0.9,0.44
80701,01,1007,413,2,21,0.19,0.09
80702,01,1007,419,42,8003,73.51,35.9
80703,01,1007,449,4,129,1.18,0.58
80704,01,1007,454,2,,,
80705,01,1009,053,2,370,1.09,0.63
80706,01,1009,056,0,1,0,0
80707,01,1009,081,1,2064,6.09,3.49
80708,01,1009,089,1,109,0.32,0.18
80709,01,1009,127,12,1003,2.96,1.7
80710,01,1009,151,1,461,1.36,0.78
80711,01,1009,155,1,180,0.53,0.3
80712,01,1009,165,6,525,1.55,0.89
80713,01,1009,167,8,537,1.58,0.91
80714,01,1009,185,1,70,0.21,0.12
80715,01,1009,193,1,34,0.1,0.06
80716,01,1009,272,2,312,0.92,0.53
80717,01,1009,300,1,60,0.18,0.1
80718,01,1009,302,1,150,0.44,0.25
80719,01,1009,500,10,1950,5.75,3.3
80720,01,1009,356,1,,,
80721,01,1009,419,74,23602,69.63,39.91
80722,01,1009,449,21,2467,7.28,4.17
80723,01,1009,454,1,,,
80724,01,1011,003,8,984,20.11,9.5
80725,01,1011,005,2,384,7.85,3.71
80726,01,1011,053,2,70,1.43,0.68
80727,01,1011,056,0,52,1.06,0.5
80728,01,1011,081,1,105,2.15,1.01
80729,01,1011,101,2,152,3.11,1.47
80730,01,1011,110,1,,,
80731,01,1011,167,1,60,1.23,0.58
80732,01,1011,177,1,,,
80733,01,1011,272,1,220,4.5,2.12
80734,01,1011,300,1,326,6.66,3.15
80735,01,1011,302,4,428,8.75,4.13
80736,01,1011,500,2,200,4.09,1.93
80737,01,1011,355,1,31,0.63,0.3
80738,01,1011,356,1,17,0.35,0.16
80739,01,1011,413,1,76,1.55,0.73
80740,01,1011,419,10,1629,33.29,15.73
80741,01,1011,449,4,160,3.27,1.54
80742,01,1013,005,2,302,2.59,1.59
80743,01,1013,053,1,125,1.07,0.66
80744,01,1013,081,1,96,0.82,0.5
80745,01,1013,093,3,302,2.59,1.59
80746,01,1013,127,3,37,0.32,0.19
80747,01,1013,141,1,120,1.03,0.63
80748,01,1013,A47,1,,,
80749,01,1013,167,9,721,6.19,3.78
