id,StateCode,GroupCode,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
1,01,326,1,,,
2,01,001,2,0,0,0
3,01,003,237,45834,1.43,0.91
4,01,005,176,26808,0.84,0.53
5,01,012,2,,,
6,01,017,7,1174,0.04,0.02
7,01,019,4,8508,0.27,0.17
8,01,416,4,,,
9,01,033,16,,,
10,01,FG3,2,,,
11,01,FG2,3,,,
12,01,034,1,35,0,0
13,01,040,1,42,0,0
14,01,042,5,,,
15,01,053,342,47789,1.5,0.95
16,01,055,6,,,
17,01,220,1,21,0,0
18,01,056,6,1455,0.05,0.03
19,01,059,14,,,
20,01,061,2,131,0,0
21,01,FE8,20,,,
22,01,E54,1,290,0.01,0.01
23,01,084,5,,,
24,01,081,162,249650,7.81,4.97
25,01,FGS,4,,,
26,01,089,12,1071,0.03,0.02
27,01,353,5,,,
28,01,093,49,3875,0.12,0.08
29,01,097,25,2749,0.09,0.05
30,01,101,176,24647,0.77,0.49
31,01,D83,1,,,
32,01,110,4,,,
33,01,143,5,717,0.02,0.01
34,01,111,1,,,
35,01,F53,15,,,
36,01,123,61,8046,0.25,0.16
37,01,127,352,61231,1.92,1.22
38,01,133,1,,,
39,01,122,11,,,
40,01,141,94,25140,0.79,0.5
41,01,145,69,,,
42,01,151,77,37765,1.18,0.75
43,01,155,35,4590,0.14,0.09
44,01,157,1,71,0,0
45,01,A47,4,,,
46,01,D59,1,,,
47,01,165,110,14336,0.45,0.29
48,01,167,839,105147,3.29,2.09
49,01,172,3,,,
50,01,173,15,,,
51,01,177,32,,,
52,01,180,22,,,
53,01,270,3,1559,0.05,0.03
54,01,186,2,90,0,0
55,01,185,51,5865,0.18,0.12
56,01,187,51,7334,0.23,0.15
57,01,FG7,1,,,
58,01,FFW,4,,,
59,01,193,123,41339,1.29,0.82
60,01,204,1,50,0,0
61,01,198,1,,,
62,01,201,3,306,0.01,0.01
63,01,203,3,,,
64,01,207,16,2489,0.08,0.05
65,01,215,1,,,
66,01,216,10,,,
67,01,FGP,1,,,
68,01,210,1,,,
69,01,263,8,900,0.03,0.02
70,01,221,2,50,0,0
71,01,222,1,,,
72,01,391,2,55,0,0
73,01,232,23,3100,0.1,0.06
74,01,FFR,26,10740,0.34,0.21
75,01,231,1,150,0,0
76,01,FGM,4,,,
77,01,243,6,,,
78,01,246,5,1922,0.06,0.04
79,01,FGD,5,,,
80,01,895,7,8587,0.27,0.17
81,01,896,3,392,0.01,0.01
82,01,264,3,192,0.01,0
83,01,FE9,5,,,
84,01,262,3,,,
85,01,256,1,,,
86,01,268,1,,,
87,01,272,157,34534,1.08,0.69
88,01,283,55,7725,0.24,0.15
89,01,255,3,564,0.02,0.01
90,01,890,4,505,0.02,0.01
91,01,290,1,75,0,0
92,01,291,1,0,0,0
93,01,267,37,23550,0.74,0.47
94,01,175,2,82,0,0
95,01,223,101,10053,0.31,0.2
96,01,301,15,12670,0.4,0.25
97,01,300,247,121168,3.79,2.41
98,01,302,378,101998,3.19,2.03
99,01,304,27,5578,0.17,0.11
100,01,309,2,,,
101,01,500,1301,514980,16.12,10.25
102,01,314,2,,,
103,01,331,2,309,0.01,0.01
104,01,276,1,375,0.01,0.01
105,01,335,1,,,
106,01,400,1,80,0,0
107,01,D71,2,1200,0.04,0.02
108,01,339,6,,,
109,01,355,118,17001,0.53,0.34
110,01,356,109,27751,0.87,0.55
111,01,361,66,7110,0.22,0.14
112,01,364,5,5005,0.16,0.1
113,01,365,2,,,
114,01,271,5,3133,0.1,0.06
115,01,375,1,,,
116,01,383,2,41,0,0
117,01,382,1,,,
118,01,401,5,114,0,0
119,01,403,11,1324,0.04,0.03
120,01,410,1,150,0,0
121,01,415,2,72,0,0
122,01,413,121,25148,0.79,0.5
123,01,419,3265,1255396,39.29,24.99
124,01,421,3,,,
125,01,F54,2,,,
126,01,891,6,4223,0.13,0.08
127,01,432,1,27,0,0
128,01,FER,1,,,
129,01,437,1,,,
130,01,435,9,1166,0.04,0.02
131,01,443,17,1537,0.05,0.03
132,01,FGN,4,,,
133,01,FG5,2,,,
134,01,F58,1,100,0,0
135,01,449,1091,250679,7.84,4.99
136,01,454,102,,,
137,01,124,8,,,
138,01,892,1,80,0,0
139,01,FFQ,1,,,
140,01,463,7,1296,0.04,0.03
141,01,467,12,1965,0.06,0.04
142,01,FJ5,1,,,
143,01,469,4,503,0.02,0.01
144,02,003,1,30,0.01,0
145,02,005,2,250,0.1,0.03
146,02,019,13,959,0.37,0.13
147,02,416,1,,,
148,02,033,2,,,
149,02,034,3,473,0.18,0.06
150,02,053,90,12099,4.69,1.65
151,02,056,12,690,0.27,0.09
152,02,FDT,1,47,0.02,0.01
153,02,FHW,1,50,0.02,0.01
154,02,084,2,,,
155,02,081,89,40280,15.61,5.49
156,02,FGS,2,,,
157,02,244,5,,,
158,02,089,12,2716,1.05,0.37
159,02,353,6,,,
160,02,093,1,0,0,0
161,02,097,10,3615,1.4,0.49
162,02,101,3,599,0.23,0.08
163,02,105,4,177,0.07,0.02
164,02,143,2,171,0.07,0.02
165,02,111,2,,,
166,02,F53,2,,,
167,02,123,6,840,0.33,0.11
168,02,127,20,3171,1.23,0.43
169,02,141,5,2030,0.79,0.28
170,02,145,2,,,
171,02,151,81,33495,12.98,4.57
172,02,164,3,,,
173,02,165,28,4256,1.65,0.58
174,02,167,27,2371,0.92,0.32
175,02,172,2,,,
176,02,173,1,,,
177,02,057,3,,,
178,02,FFW,6,,,
179,02,193,46,6072,2.35,0.83
180,02,201,21,1079,0.42,0.15
181,02,328,13,407,0.16,0.06
182,02,207,31,7906,3.06,1.08
183,02,FFE,2,,,
184,02,216,1,,,
185,02,FGL,1,,,
186,02,263,3,128,0.05,0.02
187,02,221,1,54,0.02,0.01
188,02,391,6,148,0.06,0.02
189,02,242,1,70,0.03,0.01
190,02,FGM,2,,,
191,02,246,1,225,0.09,0.03
192,02,895,1,160,0.06,0.02
193,02,896,2,309,0.12,0.04
194,02,264,2,225,0.09,0.03
195,02,256,1,,,
196,02,272,31,6096,2.36,0.83
197,02,FFJ,1,,,
198,02,283,13,2235,0.87,0.3
199,02,255,2,180,0.07,0.02
200,02,890,4,613,0.24,0.08
201,02,288,1,19,0.01,0
202,02,292,24,,,
203,02,267,2,400,0.16,0.05
204,02,175,1,131,0.05,0.02
205,02,223,1,31,0.01,0
206,02,300,1,300,0.12,0.04
207,02,302,9,2506,0.97,0.34
208,02,500,194,73930,28.65,10.08
209,02,FFH,1,,,
210,02,FHS,0,2,0,0
211,02,329,1,0,0,0
212,02,331,85,10185,3.95,1.39
213,02,335,1,,,
214,02,339,4,,,
215,02,355,29,2117,0.82,0.29
216,02,356,3,256,0.1,0.03
217,02,271,1,464,0.18,0.06
218,02,403,17,852,0.33,0.12
219,02,410,1,40,0.02,0.01
220,02,413,32,4637,1.8,0.63
221,02,419,129,15849,6.14,2.16
222,02,F52,1,,,
223,02,F54,1,,,
224,02,891,6,4569,1.77,0.62
225,02,FHF,2,81,0.03,0.01
226,02,FER,1,,,
227,02,435,4,498,0.19,0.07
228,02,443,3,243,0.09,0.03
229,02,FGN,2,,,
230,02,449,30,4700,1.82,0.64
231,02,454,24,,,
232,02,124,1,,,
233,02,892,2,100,0.04,0.01
234,02,179,1,,,
