GroupName,GroupCode
Advent Christian Church,001
African Methodist Episcopal Church,003
African Methodist Episcopal Zion Church,005
Albanian Orthodox Diocese of America,009
Alliance of Baptists,012
Amana Church Society,015
Ambassadors Amish-Mennonite,016
American Baptist Association,017
American Baptist Churches in the USA,019
American Carpatho-Russian Orthodox Diocese,022
American Presbyterian Church,030
"Amish Groups, undifferentiated",031
Anglican Church in North America,033
"Antiochian Orthodox Christian Archdiocese of North America, The",034
Apostolic Christian Church of America,040
"Apostolic Faith Mission of Portland, OR",042
Apostolic Lutheran Church of America,045
Association of Reformed Baptist Churches of America,047
Armenian Apostolic Church of America (Catholicosate of Cilicia),049
Armenian Church of North America (Catholicosate of Etchmiadzin),050
Armenian Evangelical Churches (Additional),051
Assemblies of God,053
Associate Reformed Presbyterian Church,055
Baha'i Faith USA,056
Converge Worldwide / Baptist General Conference,057
Association of Messianic Congregations,058
Baptist Missionary Association of America,059
Beachy Amish-Mennonite Churches,061
Berea Amish-Mennonite,062
Berean Fellowship of Churches,063
"Bethel Ministerial Association, Inc.",065
Fellowship of Fundamentalist Bible Churches,067
Bible Presbyterian Church (General Synod),069
"Bruderhof Communities, Inc.",070
"Brethren Church, The (Ashland, Ohio)",071
Bible Fellowship Church,073
Brethren In Christ Church,075
"Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia",078
Catholic Church,081
Central Baptist Association,082
Calvary Chapel Fellowship Churches,084
Canadian and American Reformed Churches,086
Christadelphian,087
Christian and Missionary Alliance,089
Christian Church (Disciples of Christ),093
Christian Churches and Churches of Christ,097
Christian Methodist Episcopal Church,101
Christian Reformed Church in North America,105
"Church of Christ (Holiness), U.S.A.",110
"Church of Christ, Scientist",111
"Church of God of the Apostolic Faith, Inc.",120
Church of God General Conference,121
"Church of God by Faith, Inc.",122
"Church of God (Anderson, Indiana)",123
"Unity Churches, Association of",124
Church of God (Apostolic),125
"Church of God (Cleveland, Tennessee)",127
Church of God (Seventh Day),133
Church of God in Christ,141
"Church of Christ, Mennonite",143
Church of God of Prophecy,145
"Church of God, Mountain Assembly, Inc.",146
"Church of Jesus Christ, The (Bickertonites)",149
Church of Jesus Christ of Latter-day Saints,151
"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",155
Church of the Brethren,157
Church of the Lutheran Brethren of America,163
Church of the Lutheran Confession,164
Church of the Nazarene,165
Churches of Christ,167
Churches of Christ in Christian Union,168
"Churches of God, General Conference",171
Communion of Reformed Evangelical Churches,172
Community of Christ,173
National Association of Congregational Christian Churches,175
"Congregational Christian Churches, Additional (not part of any national CCC body)",176
Congregational Holiness Church,177
Venture Church Network,179
Congregational Methodist Church,180
Conservative Congregational Christian Conference,181
Conservative Mennonite Conference,183
Covenant Reformed Presbyterian Church,184
Cumberland Presbyterian,185
Coptic Orthodox Church,186
Cumberland Presbyterian Church in America,187
Elim Fellowship,190
Episcopal Church,193
"Evangelical Church, The",197
"Evangelical Association of Reformed, and Congregational Christian Churches",198
Evangelical Congregational Church,199
Evangelical Covenant Church,201
Eritrean Orthodox,202
Evangelical Free Church of America,203
Ethiopian Orthodox,204
Evangelical Lutheran Church in America,207
Evangelical Lutheran Synod,209
Federation of Reformed Churches,210
Fellowship of Evangelical Bible Churches,211
Fellowship of Evangelical Churches,213
Evangelical Methodist Church,215
Evangelical Presbyterian Church,216
Bible Holiness Church,217
Association of Free Lutheran Congregations,220
Free Methodist Church--USA,221
Free Presbyterian Church of North America,222
National Association of Free Will Baptists,223
Free Church of Scotland (Continuing),224
Friends United Meeting,225
Free Reformed Churches of North America,227
General Association of General Baptists,231
Full Gospel Baptist Church Fellowship,232
General Church of the New Jerusalem,233
US Conference of Mennonite Brethren Churches,237
Swedenborgian Church,239
Georgian Orthodox Parishes in the United States,242
Grace Gospel Fellowship,243
Charis Fellowship,244
Greek Orthodox Archdiocese of America,246
"Holiness Church Of God, Inc., The",247
Heritage Reformed Congregations,248
Holy Orthodox Church in North America,251
Lutheran Congregations in Mission for Christ,255
International Fellowship of Bible Churches,256
International Fellowship of Christian Assemblies,260
International Council of Community Churches,262
"Foursquare Gospel, International Church of the",263
International Churches of Christ,264
International Pentecostal Church of Christ,265
Muslim Estimate,267
Jain,268
Conservative Judaism,270
Reform Judaism,271
Jehovah's Witnesses,272
Latvian Evangelical Lutheran Church in America,274
Reconstructionist Judaism,275
Orthodox Judaism,276
Maranatha Amish-Mennonite,278
Lumber River Annual Conference of the Holiness Methodist Church,279
Mennonite Christian Fellowship,282
Lutheran Church--Missouri Synod,283
American Association of Lutheran Churches,284
Eastern Pennsylvania Mennonite Church,286
Mennonite Church USA,288
Metropolitan Community Churches,290
Missionary Church,291
Moravian Church in America--Alaska Province,292
Moravian Church in America--Northern Province,293
Moravian Church in America--Southern Province,295
"National Baptist Convention, USA, Inc.",300
"National Baptist Convention of America, Inc.",301
"National Missionary Baptist Convention, Inc.",302
National Spiritualist Association of Churches,303
"National Primitive Baptist Convention, USA, Inc.",304
Netherlands Reformed Congregations,307
New Testament Association of Independent Baptist Church,308
New Apostolic Church USA,309
Midwest Beachy Amish-Mennonite,310
North American Baptist Conference,313
North American Lutheran Church,314
North American Old Roman Catholic Church,315
Old Order River Brethren,324
(Original) Church of God,326
Evangelical Friends Church International,328
Open Bible Churches,329
Macedonian Orthodox Church: American Diocese,330
Orthodox Church in America,331
Malankara Orthodox Syrian Church,333
Malankara Archdiocese of the Syrian Orthodox Church in North America,334
Orthodox Presbyterian Church,335
Convention of Original Free Will Baptist Churches,336
Independent Yearly Meetings of Friends,338
Pentecostal Church of God,339
Fire-Baptized Holiness Church of the Americas,346
"Pentecostal Free Will Baptist Church, Inc.",347
Pillar Ministries,350
Polish National Catholic Church,352
Christian Brethren (Open Plymouth Brethren),353
Presbyterian Reformed Church,354
Presbyterian Church (U.S.A.),355
Presbyterian Church in America,356
Primitive Baptists Associations,361
"Primitive Baptists, Eastern District Association of",362
Primitive Methodist Church in the USA,363
"Progressive National Baptist Convention, Inc.",364
Progressive Primitive Baptists,365
Protestant Reformed Churches in America,369
Reformed Church in America,371
Reformed Church in the United States,373
Reformed Episcopal Church,375
Reformed Mennonite Church,379
Reformed Presbyterian Church General Assembly,380
"Reformed Presbyterian Church, Hanover Presbytery",382
Reformed Presbyterian Church of North America,383
Reformed Zion Union Apostolic Church,384
General Association of Regular Baptist Churches,388
Unaffiliated Friends Meetings,389
Conservative Yearly Meeting of Friends,390
Friends General Conference,391
"Friends General Conference and Friends United Meeting, dually aligned meetings",393
Romanian Orthodox Archdiocese in Americas,395
Patriarchal Parishes of the Russian Orthodox Church in the USA,400
Russian Orthodox Church Outside of Russia,401
Salvation Army,403
Schwenkfelder Church,405
Shinto,408
Serbian Orthodox Church in North America,410
Seventh-day Adventist Church,413
Stauffer Mennonite Church,414
"Seventh Day Baptist General Conference, USA and Canada",415
American Sikh Council,416
Southern Baptist Convention,419
Southern Methodist Church,421
Syriac Orthodox Church of Antioch,423
Tampico Amish-Mennonite,424
Tao,425
Ukrainian Orthodox Church of the USA,431
Unaffiliated Amish-Mennonite (Conservative),432
Unitarian Universalist Association of Congregations,435
Union of Messianic Jewish Congregations,437
Church of the United Brethren in Christ USA,438
United Catholic Church,439
United Church of Christ,443
"United Holy Church of America, Inc.",445
United Methodist Church,449
United Pentecostal Church International,454
United Reformed Churches in North America,455
United Zion Church,459
Unity of the Brethren,461
Vedanta Society,462
Vineyard USA,463
Wesleyan Church,467
Wisconsin Evangelical Lutheran Synod,469
Zoroastrian,490
Non-denominational Christian Churches,500
Mahayana Buddhist,890
Theravada Buddhist,891
Vajarayana Buddhist,892
Hindu Temples,895
Hindu Yoga and Meditation,896
American Ethical Union,904
Church of the Living God (Christian Workers for Fellowship),A47
Church of God and Saints of Christ,C22
Old Order German Baptist Church,C51
Church of the Living God: Pillar and Ground of the Truth,D59
Liberal Catholic Church,D66
Pentecostal Assemblies of the World,D71
Christ's Sanctified Holy Church,D83
"House of God, Holy Church of the Living God, The Pillar and Ground of the Truth, House of Prayer for All People",D92
"Bible Way Church of Our Lord Jesus Christ World Wide, Inc.",E54
Anglican Catholic Church,F01
Christian Congregation in North America,F10
Church of Christ,F13
Church of God of the Firstborn,F16
Full Gospel Assemblies International,F23
Kentucky Christian Conference,F26
Keystone Mennonite Fellowship,F27
Malankara Mar Thoma Church,F28
Nationwide Fellowship Mennonite Churches,F31
North Carolina Congregational Conference,F32
"Old German Baptist Brethren, New Conference",F35
Pilgrim Mennonite Conference,F38
Reformed Baptist Network,F41
Southeastern Mennonite Conference,F48
Southern Illinois Christian Conference,F49
Sovereign Grace Churches,F51
Syro-Russian Orthodox Catholic Church,F52
Church of God,F53
The local churches,F54
"United American Free Will Baptist Denomination, Inc.",F57
United House of Prayer,F58
Midwest Mennonite Fellowship,FD1
Northeastern Mennonite Conference,FD2
Old Brethren German Baptist,FD3
Old Wenger Mennonite Church,FD4
South Atlantic Mennonite Conference,FD5
Unaffiliated Conservative Mennonite (Grandview fellowship),FD6
Washington-Franklin Mennonite Conference,FD7
Western Conservative Mennonite Fellowship,FD8
Wisler Mennonite Conference (Ohio),FD9
Bethel Fellowship Mennonite Churches,FDT
Christian Apostolic Church,FDU
Conservative Mennonite Churches of York and Adams Counties PA,FDV
Cumberland Valley Mennonite Church,FDW
Haven Mennonite Fellowship,FDX
Little Flock Mennonite Churches,FDY
Mid-Atlantic Mennonite Fellowship,FDZ
Wisler Mennonite Conference (Ohio-Indiana),FE1
Hope Mennonite Fellowship,FE2
Bible Methodist Connection,FE8
International Communion of the Charismatic Episcopal Church,FE9
Unification Church,FER
Apostolic Christian Faith,FEX
Appalachian Mennonite Church,FEY
Believers in Christ,FEZ
Christian Communities,FF1
Old German Baptist Brethren,FF2
Original Virginia Conference Old Order Mennonite,FF3
Pleasant View Old Order (Virginia) Mennonite Conference,FF4
Riverdale Old Order (Virginia) Mennonite Conference,FF5
Covenant Presbyterian Church,FF6
Apostolic Christian Church (Nazarene) - East Conference,FF7
Apostolic Christian Church (Nazarene) - West Conference,FF8
Free Presbyterian Church of Scotland,FFA
Reformed Congregations of North America,FFB
Orthodox Lutheran Confessional Conference,FFC
Independent Lutheran Diocese,FFD
Evangelical Lutheran Diocese of North America,FFE
Evangelical Lutheran Conference and Ministerium of North America,FFF
Concordia Lutheran Conference,FFG
Old Apostolic Lutheran Church of America,FFH
Laestadian Lutheran Church,FFJ
Church of the Genuine Orthodox Christians,FFK
Knanaya Churches in the USA,FFL
Catholic Apostolic Church in North America,FFM
Orthodox Old Roman Catholic Communion,FFN
Ecumenical Catholic Communion,FFP
Vanguard Presbytery,FFQ
Full Gospel Christian Assemblies International,FFR
Anabaptist Disciples of Christ,FFS
Dunkard Brethren Church,FFT
Meadow Springs Old Order Mennonite,FFU
Belarusan Autocephalous Orthodox Church,FFV
ECO: A Covenant Order of Presbyterians,FFW
Indian Bottom Association of Old Regular Baptists,FFX
Northern New Salem Association of Old Regular Baptists,FFY
Sardis Association of Old Regular Baptists,FFZ
Solid Rock Association of Old Time Baptists,FG1
Anglican Province of Christ the King,FG2
Anglican Province of America,FG3
Anglican Church in America,FG4
United Episcopal Church of North America,FG5
American Anglican Church,FG6
Diocese of the Holy Cross,FG7
Episcopal Missionary Church,FG8
Holy Catholic Church Anglican Rite,FG9
Orthodox Anglican Church,FGA
Reformed Bible Church,FGB
Higher Ground Always Abounding Assemblies,FGD
Assemblies of the Lord Jesus Christ,FGJ
Ecumenical Catholic Church,FGK
Fellowship of Christian Assemblies,FGL
Grace Communion International,FGM
United Church of God,FGN
Every Nation,FGP
Twelve Tribes,FGQ
Independent Judaism,FGR
Chabad Judaism,FGS
Union American Methodist Episcopal Church,FGV
Unaffiliated Conservative Mennonite,FHF
Remnant: Charity Ministries and related,FHG
Unaffiliated Amish-Mennonite (Spring Garden network),FHH
Agape Christian Fellowship,FHJ
Independent Conservative Brethren,FHK
Reidenbach Mennonite,FHM
German Apostolic / Christian Apostolic Churches,FHN
Nazarene Christian Congregation (Side A or B),FHP
Hoover Old Order Mennonite Church,FHQ
Unaffiliated Mennonite (Wisler Christian Fellowship),FHR
Old Brethren (California),FHS
Old Brethren (Goshen),FHT
Orthodox Mennonite Church,FHU
Stauffer Mennonite (independent groups),FHV
Biblical Mennonite Alliance,FHW
Dariusleut Hutterite,FHX
Hutterite Christian Communities,FHY
Lehrerleut Hutterite,FHZ
Schmiedeleut Hutterite Group 1,FJ1
Schmiedeleut Hutterite Group 2,FJ2
Weaverland Mennonite Conference,FJ3
German Baptist Brethren,FJ4
Westminster Evangelical Presbyterian Church,FJ5
Evangel Presbytery,FJ6
