id,GroupCode,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
1,326,15,,,
2,001,249,17780,0.01,0.01
3,003,3667,1059888,0.66,0.32
4,005,1587,304704,0.19,0.09
5,FHJ,21,2616,0,0
6,009,2,800,0,0
7,012,122,,,
8,015,1,321,0,0
9,016,8,923,0,0
10,FG6,12,,,
11,284,57,,,
12,017,766,146820,0.09,0.04
13,019,4790,1259804,0.78,0.38
14,022,78,7171,0,0
15,904,28,,,
16,030,2,,,
17,416,307,,,
18,031,2863,320625,0.2,0.1
19,FFS,15,2293,0,0
20,F01,71,,,
21,FG4,44,,,
22,033,873,,,
23,FG3,56,,,
24,FG2,39,,,
25,034,255,71216,0.04,0.02
26,FF7,22,1820,0,0
27,FF8,14,1322,0,0
28,040,87,19557,0.01,0.01
29,FEX,25,2453,0,0
30,042,54,,,
31,045,50,,,
32,FEY,2,240,0,0
33,049,32,35565,0.02,0.01
34,050,89,95207,0.06,0.03
35,051,15,,,
36,053,12739,3094547,1.92,0.93
37,FGJ,33,,,
38,055,254,,,
39,220,254,35804,0.02,0.01
40,058,12,,,
41,047,13,,,
42,056,983,178727,0.11,0.05
43,059,1144,,,
44,061,86,10093,0.01,0
45,FFV,3,,,
46,FEZ,6,808,0,0
47,062,11,824,0,0
48,063,58,,,
49,FDT,16,1600,0,0
50,065,15,,,
51,073,68,14333,0.01,0
52,217,34,,,
53,FE8,93,,,
54,069,26,,,
55,E54,33,21718,0.01,0.01
56,FHW,76,6339,0,0
57,071,106,,,
58,075,235,,,
59,070,19,2203,0,0
60,078,24,5386,0,0
61,084,243,,,
62,086,4,,,
63,FFM,15,,,
64,081,19405,61858137,38.37,18.66
65,082,22,3009,0,0
66,FGS,953,,,
67,244,268,,,
68,087,170,,,
69,089,1776,414360,0.26,0.13
70,FDU,4,253,0,0
71,353,841,,,
72,093,3135,398072,0.25,0.12
73,097,4787,1379041,0.86,0.42
74,FF1,2,104,0,0
75,F10,69,,,
76,101,1608,269126,0.17,0.08
77,105,792,149096,0.09,0.04
78,D83,18,,,
79,F13,19,,,
80,110,124,,,
81,143,170,25897,0.02,0.01
82,111,314,,,
83,F53,204,,,
84,123,1944,427038,0.26,0.13
85,125,18,,,
86,127,5921,868446,0.54,0.26
87,133,214,,,
88,C22,22,,,
89,122,169,,,
90,121,78,2942,0,0
91,141,3313,920429,0.57,0.28
92,145,1614,,,
93,120,56,,,
94,F16,2,,,
95,146,95,,,
96,151,14567,6721031,4.17,2.03
97,149,64,,,
98,155,527,85938,0.05,0.03
99,157,921,109288,0.07,0.03
100,FFK,43,6053,0,0
101,A47,109,,,
102,D59,41,,,
103,163,86,,,
104,164,75,,,
105,165,5155,905690,0.56,0.27
106,438,160,21222,0.01,0.01
107,167,11881,1422331,0.88,0.43
108,168,186,,,
109,171,301,31228,0.02,0.01
110,172,81,,,
111,173,616,,,
112,FFG,5,,,
113,176,53,5118,0,0
114,177,188,,,
115,180,139,,,
116,181,312,51112,0.03,0.02
117,270,529,417316,0.26,0.13
118,FDV,5,327,0,0
119,183,109,16493,0.01,0
120,390,32,1919,0,0
121,336,226,23490,0.01,0.01
122,057,881,,,
123,186,292,179155,0.11,0.05
124,FF6,13,,,
125,184,2,,,
126,185,608,64901,0.04,0.02
127,187,111,14473,0.01,0
128,FDW,7,692,0,0
129,FHX,22,1409,0,0
130,FG7,19,,,
131,FFT,25,1523,0,0
132,286,72,11193,0.01,0
133,FFW,413,,,
134,FGK,3,,,
135,FFP,33,2757,0,0
136,190,243,,,
137,193,6353,1576611,0.98,0.48
138,FG8,26,,,
139,202,64,41456,0.03,0.01
140,204,197,96374,0.06,0.03
141,FJ6,9,,,
142,198,114,,,
143,197,110,9809,0.01,0
144,199,122,,,
145,201,863,154267,0.1,0.05
146,203,1602,,,
147,328,235,34960,0.02,0.01
148,207,8857,3139413,1.95,0.95
149,FFF,12,,,
150,FFE,31,,,
151,209,133,16536,0.01,0
152,215,83,,,
153,216,625,,,
154,FGP,85,,,
155,210,6,,,
156,FGL,93,,,
157,211,17,,,
158,213,71,9777,0.01,0
159,067,15,,,
160,346,34,,,
161,263,1619,363626,0.23,0.11
162,224,5,,,
163,221,619,71634,0.04,0.02
164,222,12,,,
165,FFA,1,,,
166,227,2,,,
167,391,374,27722,0.02,0.01
168,393,130,8102,0.01,0
169,225,186,14138,0.01,0
170,F23,49,,,
171,232,817,138354,0.09,0.04
172,FFR,722,240878,0.15,0.07
173,231,114,33916,0.02,0.01
174,388,939,,,
175,233,43,,,
176,242,14,1215,0,0
177,FHN,8,618,0,0
178,FJ4,3,177,0,0
179,FGM,180,,,
180,243,108,,,
181,246,533,375117,0.23,0.11
182,FDX,3,365,0,0
183,248,6,803,0,0
184,FGD,72,,,
185,895,433,831229,0.52,0.25
186,896,1378,437115,0.27,0.13
187,247,17,,,
188,FG9,6,,,
189,251,16,749,0,0
190,FHQ,10,1713,0,0
191,FE2,10,1078,0,0
192,D92,5,,,
193,FHY,3,327,0,0
194,FHK,8,312,0,0
195,FGR,130,8486,0.01,0
196,FFD,4,100,0,0
197,338,65,2417,0,0
198,FFX,43,1861,0,0
199,264,175,53612,0.03,0.02
200,FE9,56,,,
201,262,57,,,
202,256,36,,,
203,260,69,,,
204,265,49,,,
205,268,79,,,
206,272,12285,3016924,1.87,0.91
207,F26,35,,,
208,F27,25,2821,0,0
209,FFL,16,2817,0,0
210,FFJ,29,,,
211,274,12,,,
212,FHZ,43,4754,0,0
213,D66,8,,,
214,FDY,7,533,0,0
215,279,10,,,
216,283,5897,1802680,1.12,0.54
217,255,776,194144,0.12,0.06
218,330,20,17325,0.01,0.01
219,890,969,549344,0.34,0.17
220,334,48,6828,0,0
221,F28,49,5531,0,0
222,333,110,21722,0.01,0.01
223,278,16,1983,0,0
224,FFU,4,958,0,0
225,282,24,2759,0,0
226,288,550,71058,0.04,0.02
227,290,114,8156,0.01,0
228,FDZ,32,3740,0,0
229,310,7,791,0,0
230,FD1,23,2022,0,0
231,291,463,57638,0.04,0.02
232,292,24,,,
233,293,77,18098,0.01,0.01
234,295,53,14291,0.01,0
235,267,2771,4453908,2.76,1.34
236,175,322,41582,0.03,0.01
237,223,1930,156895,0.1,0.05
238,301,389,225776,0.14,0.07
239,300,2530,1567741,0.97,0.47
240,302,7564,2428820,1.51,0.73
241,304,130,35426,0.02,0.01
242,303,63,,,
243,F31,78,7508,0,0
244,FHP,8,289,0,0
245,307,16,,,
246,309,187,,,
247,308,119,,,
248,500,44319,21095641,13.08,6.36
249,313,270,,,
250,314,441,,,
251,315,9,,,
252,F32,10,,,
253,FD2,9,823,0,0
254,FFY,22,397,0,0
255,FFH,28,,,
256,FHS,5,292,0,0
257,FHT,3,427,0,0
258,FD3,2,296,0,0
259,FF2,47,6644,0,0
260,F35,35,3430,0,0
261,C51,4,283,0,0
262,324,5,688,0,0
263,FD4,3,152,0,0
264,329,242,31068,0.02,0.01
265,FF3,2,531,0,0
266,FGA,19,,,
